L0,x,y,H0
0.0625,0.1875,0.8125,0.027343988
0.0625,0.1875,0.875,0.046465397
0.0625,0.1875,0.9375,0.035908222
0.0625,0.1875,1.0,0.06581402
0.0625,0.1875,1.0625,0.557281
0.0625,0.1875,1.125,0.16348505
0.0625,0.1875,1.1875,0.06903052
0.0625,0.1875,1.25,0.05863571
0.0625,0.1875,1.3125,0.049851656
0.0625,0.1875,1.375,0.1968453
0.0625,0.1875,1.4375,0.46567822
0.0625,0.1875,1.5,0.16826797
0.0625,0.1875,1.5625,0.09702468
0.0625,0.1875,1.625,0.049643517
0.0625,0.1875,1.6875,0.038477898
0.0625,0.1875,1.75,0.030469656
0.0625,0.1875,1.8125,0.044113398
0.0625,0.1875,1.875,0.022048473
0.0625,0.1875,1.9375,0.08650684
0.0625,0.25,0.0,0.08399463
0.0625,0.25,0.0625,0.022258043
0.0625,0.25,0.125,0.019063473
0.0625,0.25,0.1875,0.08605027
0.0625,0.25,0.25,0.07270384
0.0625,0.25,0.3125,0.06463122
0.0625,0.25,0.375,0.06064844
0.0625,0.25,0.4375,0.038182974
0.0625,0.25,0.5,0.027691841
0.0625,0.25,0.5625,0.029188395
0.0625,0.25,0.625,0.03922057
0.0625,0.25,0.6875,0.017470837
0.0625,0.25,0.75,0.04334879
0.0625,0.25,0.8125,0.035753727
0.0625,0.25,0.875,0.054202557
0.0625,0.25,0.9375,0.076075315
0.0625,0.25,1.0,0.52870584
0.0625,0.25,1.0625,0.6022155
0.0625,0.25,1.125,0.12914538
0.0625,0.25,1.1875,0.04077983
0.0625,0.25,1.25,0.05837345
0.0625,0.25,1.3125,0.057164907
0.0625,0.25,1.375,0.123062134
0.0625,0.25,1.4375,0.50790167
0.0625,0.25,1.5,0.19340515
0.0625,0.25,1.5625,0.067436695
0.0625,0.25,1.625,0.060890198
0.0625,0.25,1.6875,0.061995983
0.0625,0.25,1.75,0.028633356
0.0625,0.25,1.8125,0.055565834
0.0625,0.25,1.875,0.059467077
0.0625,0.25,1.9375,0.12519717
0.0625,0.3125,0.0,0.07807708
0.0625,0.3125,0.0625,0.059244633
0.0625,0.3125,0.125,0.027343988
0.0625,0.3125,0.1875,0.0876503
0.0625,0.3125,0.25,0.13555431
0.0625,0.3125,0.3125,0.21896935
0.0625,0.3125,0.375,0.12067819
0.0625,0.3125,0.4375,0.04712844
